year,date,month,state,state_abbrev,location,activity,surf_related,age,sex,injury,fatal,attack_type
2002,2002-08-14,8.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,27.0,M,Big toe bitten,N,Unprovoked
2002,2002-08-17,8.0,Alabama,AL,"Gulf of Mexico, 65 miles offshore from Mobile",Swimming,False,29.0,F,Both arms & leg bitten,N,Unprovoked
2002,2002-08-28,8.0,Hawaii,HI,"Kewalo Basin Channel, O'ahu",Surfing,True,16.0,M,Left foot lacerated ,N,Unprovoked
2002,2002-09-05,9.0,Florida,FL,"Daytona Beach Shores, Volusia County","Wading, when he stepped on the shark",False,36.0,M,2 small puncture wounds on left foot PROVOKED INCIDENT,N,Provoked
2002,2002-09-09,9.0,Florida,FL,"Ponce Inlet, New Smyrna Beach, Volusia County",Boogie boarding,True,20.0,M,Bitten above & below right knee,N,Unprovoked
2002,2002-09-16,9.0,Hawaii,HI,"Hideaways Beach, Princeville, Kaua'i",Body boarding,True,,,"No injury, shark fin seen just before board ripped away & dragged out to sea",N,Unprovoked
2002,2002-09-21,9.0,California,CA,"Moonstone Beach, Humboldt County",Surfing,True,35.0,M,No injury,N,Unprovoked
2002,2002-09-21,9.0,Oregon,OR,Cape Kiwanda,Boogie boarding or Surfing,True,24.0,M, Ankle lacerated,N,Unprovoked
2002,2002-09-27,9.0,Florida,FL,"Key Largo, Monroe County",Fishing,False,,M,Left thumb lacerated PROVOKED INCIDENT,N,Provoked
2002,2002-09-27,9.0,Hawaii,HI,"Kahala, O'ahu",Fishing from Surfboard,True,55.0,M,"No injury, surfboard bitten ",N,Unprovoked
2002,2002-09-29,9.0,Florida,FL,"Sebastian Inlet, Brevard County",Surfing,True,32.0,M,Left hand bitten,N,Unprovoked
2002,2002-09-30,9.0,Florida,FL,"Ormond Beach, Volusia County",Surfing,True,47.0,M,Right hand severely lacerated,N,Unprovoked
2002,2002-10-03,10.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,18.0,M,Left hand lacerated and abraded,N,Unprovoked
2002,2002-10-05,10.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,14.0,M,Abrasions on right hand & deep laceration on middle finger,N,Unprovoked
2002,2002-10-05,10.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,35.0,M,Heel & back of right knee lacerated,N,Unprovoked
