year,date,month,state,state_abbrev,location,activity,surf_related,age,sex,injury,fatal,attack_type
1817,1817-06-24,6.0,South Carolina,SC,"Charleston Harbor, Charleston County",Swimming,False,,M,FATAL,Y,Unprovoked
1830,1830-07-26,7.0,Massachusetts,MA,"Swampscott, Essex County","Fishing from dory, shark upset boat & he fell into the water",False,52.0,M,FATAL,Y,Unprovoked
1837,1837-09-09,9.0,South Carolina,SC,"Magwoods Wharf, Charleston Harbor, Charleston County",Bathing,False,,M,Right foot bittten,N,Unprovoked
1842,1842-07-06,7.0,New Jersey,NJ,"Absecon, Atlantic County",Harassing a shark,False,,,Lacerations to leg  PROVOKED INCIDENT,N,Provoked
1848,1848-08-31,8.0,Maryland,MD,Patapsco River,Swimming,False,15.0,M,Left leg severely bitten,N,Unprovoked
1849,1849-06-08,6.0,Florida,FL,"Pensacola, Escambia County",Bathing,False,,F,FATAL,Y,Unprovoked
1849,1849-06-08,6.0,Florida,FL,"Pensacola, Escambia County",Attempting to rescue woman seized by shark,False,,M,FATAL,Y,Unprovoked
1853,1853-09-28,9.0,North Carolina,NC,"Morehead, Carteret County",Commercial Salvage Diving,False,,M,No injury. Copper breastplate & harness bitten,N,Unprovoked
1855,1855-09-30,9.0,North Carolina,NC,Cape Hatteras,ship William Penn grounded & broke apart,False,,M,Foot bitten,N,Sea Disaster
1858,1858-08-29,8.0,New York,NY,"Staten Island, Richmond County",Swimming,False,,M,Thought to have been taken by a shark/s. Bodies not  recovered,Y,Invalid
1858,1858-08-31,8.0,New York,NY,"Staten Island, Richmond County",Swimming,False,,M,Thought to have been taken by a shark/s. Body not  recovered,Y,Invalid
1859,1859-03-16,3.0,Hawaii,HI,Off Kawaihae,Fell overboard,False,21.0,M,FATAL,,Unprovoked
1860,1860-08-01,8.0,New York,NY,Brooklyn,Swimming,False,,M,Toe severed,N,Unprovoked
1864,1864-08-12,8.0,New York,NY,Mahattan,Swimming,False,13.0,M,Left thigh severely bitten,N,Unprovoked
1865,1865-09-02,9.0,New York,NY,"Greenport Sound, Long Island",Swimming alongside the schooner Catherine Wilcox,False,17.0,M,Multiple lacerations,N,Unprovoked
1870,1870-07-27,7.0,North Carolina,NC,"Smithville (now Southport), Brunswick County",Bathing,False,,M,Foot bitten & toe severed,N,Unprovoked
1873,1873-07-28,7.0,Maryland,MD,Chester River,Fishing (Seining),False,,M,Leg severely bitten by netted shark. Lower leg surgically amputated PROVOKED INCIDENT,N,Provoked
1874,1874-07-15,7.0,New York,NY,Coney Island,Bathing,False,,M,Lacerations to groin,N,Unprovoked
1878,1878-08-08,8.0,New York,NY,Brooklyn,Swimming,False,14.0,M,FATAL,Y,Unprovoked
1878,1878-08-09,8.0,New York,NY,East River,Swimming,False,,M,FATAL?,Y,Unprovoked
1879,1879-07-03,7.0,California,CA,"Los Angeles, Los Angeles County",Bathing,False,,M,No details,N,Unprovoked
1880,1880-07-25,7.0,New York,NY,The Narrows,Sailing,False,,M,"Shark bit stern, no injury to occupant",N,Boating
1881,1881-06-13,6.0,Alabama,AL,Mobile Bay,Fell overboard,False,23.0,M,FATAL,Y,Unprovoked
1881,1881-08-12,8.0,Rhode Island,RI,Providence,Swimming,False,,M,"No injury, overalls ripped by shark",N,Unprovoked
1881,1881-09-05,9.0,North Carolina,NC,"Elizabeth City, Pasquotank County  ",Bathing,False,,M,"FATAL, possible post-mortem bites",Y,Unprovoked
1881,1881-10-16,10.0,Florida,FL,"Pensacola Bay, Escambia County",Bathing,False,18.0,M,Shark involvement prior to death unconfirmed,Y,Invalid
1884,1884-08-18,8.0,New York,NY,Jamaica Bay,Clamming,False,,M,Unclear if he sustained any injury from the shark,N,Invalid
1885,1885-07-26,7.0,Hawaii,HI,Kau District,Wreck of the schooner Pohoiki,False,,M,FATAL,Y,Sea Disaster
1885,1885-07-26,7.0,Hawaii,HI,Kau District,Wreck of the schooner Pohoiki,False,,M,Laceration to torso,N,Sea Disaster
1885,1885-07-26,7.0,Hawaii,HI,Kau District,Wreck of the schooner Pohoiki,False,,M,Left arm severed,N,Sea Disaster
1886,1886-06-02,6.0,Hawaii,HI,"Hamakua Homakua, Hawai'i","Fishing from shore, washed into the sea",False,,F,"The body of one woman had been bitten by a shark but it is not known if she was alive at the time, the other woman disappeared",Y,Invalid
1887,1887-10-18,10.0,Florida,FL,"Between Lake Worth & Biscayne Bay, near Hillsboro","Crossing inlet in a boat, seen fighting sharks with his oar, sharks smashed boat",False,,M,FATAL,Y,Unprovoked
1889,1889-07-19,7.0,Texas,TX,West Bay near Galveston ,Fishing,False,,M,Leg bitten,N,Unprovoked
1889,1889-07-21,7.0,Florida,FL,"Fernandina, Nassau County",Swimming,False,,M,"FATAL, calf bitten",Y,Unprovoked
1889,1889-11-16,11.0,Hawaii,HI,Honolulu,Parachuted from balloon,False,,M,Speculated that he was taken by a shark but most likely drowned,Y,Invalid
1890,1890-08-09,8.0,Connecticut,CT,"Bridgeport, Fairfield County",Treading for clams,False,,M,Severe lacerations to left arm.,N,Unprovoked
1891,1891-06-11,6.0,Virginia,VA,Hampton Roads,Fishing for sharks when he became entangled in net & fell overboard,False,,M,"Fatal, but death may have been due to drowning",Y,Invalid
1891,1891-08-29,8.0,New Jersey,NJ,"Off Longport, Atlantic County",Shooting sharks,False,,M,"Survived, PROVOKED INCIDENT",N,Provoked
1894,1894-06-29,6.0,Florida,FL,Anastasia Island,Bathing,False,,M,"""Painfully injured"" but no details",,Unprovoked
1894,1894-08-01,8.0,Florida,FL,"Jacksonville, Duval County",Swimming / floating on his back,False,,M,Lacerations to thigh,N,Unprovoked
1894,1894-08-21,8.0,New York,NY,"Woolsey's Point, East River",Swimming,False,,F,No injury,,Unprovoked
1894,1894-12-11,12.0,Florida,FL,"North Beach, St. Augustine",Fishing,False,,M,Left leg bitten PROVOKED INCIDENT,N,Provoked
1895,1895-08-02,8.0,New Jersey,NJ,Raritan Bay,Fishing,False,,M,Arm bitten,N,Unprovoked
1895,1895-08-11,8.0,Rhode Island,RI,Noyes Beach,Swimming,False,26.0,M,FATAL,Y,Unprovoked
1896,1896-07-25,7.0,Hawaii,HI,"Kahului, Maui",Fishing,False,35.0,M,FATAL,Y,Unprovoked
1897,1897-09-06,9.0,South Carolina,SC,"Elliott Cut, Charleston County",Standing,False,,M,Lacerations to lower leg,N,Unprovoked
1897,1897-09-17,9.0,Rhode Island,RI,Point Judith,Fishing,False,,M,Lacerations to hand by netted shark PROVOKED INCIDENT,N,Provoked
1898,1898-08-22,8.0,New York,NY,"Prince's Bay, Staten Island",Swimming,False,,M,Laceration to thigh,N,Unprovoked
1898,1898-10-28,10.0,Hawaii,HI,Off Kohala,Jumped overboard,False,,M,FATAL,Y,Unprovoked
1899,1899-08-15,8.0,Florida,FL,"Trout River, Panama Park",Swimming,False,15.0,M,FATAL,Y,Unprovoked
1900,1900-07-14,7.0,Hawaii,HI,"Makapu'u Point, O'ahu",Hunting seashells,False,,M,"Believed drowned. Uhlbrechts foot, and the pelvis & femur of another person recovered in gut of tiger shark shark caught on 17-Aug-1900",Y,Invalid
1900,1900-08-21,8.0,North Carolina,NC,"Southport, Brunswick County",Bathing,False,,M,Left hand lacerated,N,Unprovoked
1900,1900-09-05,9.0,Hawaii,HI,"Waikiki Beach, Oahu",Floating,False,,M,"Bathing suit torn & ""imprints of the shark's teeth on his body""",N,Unprovoked
1900,1900-09-13,9.0,Rhode Island,RI,Coddington Cove,Diving,False,,M,No injury,,Unprovoked
1902,1902-07-06,7.0,New Jersey,NJ,"Atlantic City, Atlantic County",Swimming,False,,M,Shark bit his left arm after he grabbed its tail PROVOKED INCIDENT,N,Provoked
1902,1902-08-08,8.0,Hawaii,HI,"Kalihi, O'ahu",Catching crabs,False,,M,"FATAL, both arms severed  ",Y,Unprovoked
1904,1904-07-27,7.0,Texas,TX,,Swimming,False,,M,"FATAL, body not recovered",Y,Unprovoked
1904,1904-07-28,7.0,New Jersey,NJ,"Shrewsbury River,  Monmouth County",Sailing,False,,M,No injury,N,Unprovoked
1905,1905-05-22,5.0,Florida,FL,"Pablo Beach, Jacksonville, Duval County",Swimming,False,,M,Lacerations to back & right leg,N,Unprovoked
1905,1905-07-29,7.0,North Carolina,NC,"Davis Shore, east of Beaufor, Carteret Countyt",Wading,False,16.0,M,Body not recovered FATAL,Y,Unprovoked
1906,1906-08-04,8.0,Maryland,MD,"Tangier Sound, Somerset County",Fell overboard,False,,M,FATAL,Y,Unprovoked
1907,1907-03-26,3.0,Florida,FL,"Garden Key, Charlotte County","Fishing,  tarpon being chased by shark  leapt across his skiff, breaking it in half & Larkin became tangled in the net",False,,M,"FATAL, shark bit his side, nearly cutting him in two  ",Y,Unprovoked
1907,1907-10-08,10.0,Hawaii,HI," Kalepolepo, Kihei, Maui","Diving, retrieving fish caught in net",False,,M,"Arm severed at elbow,  surgically amputated at shoulder ",N,Unprovoked
1908,1908-01-08,1.0,Hawaii,HI,"Mana, Kaua'i",Gathering fish stunned by dynamite,False,,M,"FATAL, ""pulled below the surface'  ",Y,Unprovoked
1908,1908-05-10,5.0,Florida,FL," Marathon, Monroe County",,False,,M,"FATAL, but shark involvement prior to death was not confirmed",Y,Invalid
1908,1908-06-08,6.0,Georgia,GA,,The British steamer Caribbee foundered,False,,M,FATAL,Y,Sea Disaster
1908,1908-09-05,9.0,California,CA,"Redondo, Los Angeles County",On fishing boat & trailing hand in the water,False,,M,Lacerations to fingers,N,Unprovoked
1909,1909-04-10,4.0,Hawaii,HI,"Pa'uwela, Maui",Reported swept away by waves while gathering opihi,False,19.0,F, Search party saw a large shark devour what appeared to be part of her body,Y,Invalid
1909,1909-07-15,7.0,Florida,FL,"Panama City, Bay County",Swimming,False,16.0,M,Hip & thigh lacerated,N,Unprovoked
1909,1909-07-24,7.0,New York,NY,Rockaway,Fell overboard while fishing for sharks,False,,M,Right leg bitten,N,Unprovoked
1909,1909-08-13,8.0,Florida,FL,"Pensacola Bay, Escambia County",Fell overboard from fishing schooner Halycon,False,,M,FATAL,Y,Unprovoked
1911,1911-09-17,9.0,Florida,FL,"Pablo Beach, Jacksonville, Duval County",Bathing,False,,M,Left arm & thigh bitten,N,Unprovoked
1911,1911-09-20,9.0,Florida,FL,"Pensacola Bay, Escambia County",Fell overboard & swimming,False,,M,FATAL,Y,Unprovoked
1911,1911-09-23,9.0,Texas,TX,Galveston Ship Channel,Jumped overboard to rescue companion,False,,M,FATAL,Y,Unprovoked
1911,1911-10-26,10.0,South Carolina,SC,Off Charleston,Fell overboard from steamship Rio Grande,False,,M,FATAL,Y,Unprovoked
1911,1911-11-08,11.0,Florida,FL,"Pensacola Bay, Escambia County",,False,,M,"Cause of death undetermined. 3.6 m [11'9""] shark seen carrying body. Next day, shark was killed & Antoine's entire body was found in its gut.",Y,Invalid
1912,1912-07-23,7.0,South Carolina,SC,Sullivan's Island,Swimming,False,,M,Toes severed,N,Unprovoked
1912,1912-08-30,8.0,Georgia,GA,"Tybee Island, Chatham County",Swimming,False,12.0,M,FATAL,Y,Unprovoked
1913,1913-05-21,5.0,Florida,FL,"John's Pass, Pinellas County",Fishing,False,,M,"Forefinger of right hand bitten by a ""dead"" shark PROVOKED INCIDENT",N,Provoked
1913,1913-07-12,7.0,South Carolina,SC,Charleston,,False,,M,FATAL,Y,Unprovoked
1913,1913-09-21,9.0,Florida,FL,"West Palm Beach, Palm Beach County",,False,,M,Major injuries but survived,N,Unprovoked
1914,1914-03-03,3.0,Hawaii,HI,"Honomu, Hawai'i",Washed into sea while picking opihi & attacked by 2 large sharks,False,,M,FATAL,Y,Unprovoked
1914,1914-05-14,5.0,Florida,FL,"Boca Ciega Bay, Pinellas County",Fishing,False,,F,PROVOKED INCIDENT Lacerations to right hand by hooked shark,N,Provoked
1914,1914-09-09,9.0,Louisiana,LA,Lake Pontchartrain,Swimming,False,17.0,M,FATAL,Y,Unprovoked
1915,1915-08-03,8.0,Florida,FL,"St. Augustine, St Johns County",,False,,M,Laceration to left leg,N,Unprovoked
1916,1916-06-23,6.0,Florida,FL,,,False,26.0,M,Leg bitten by shark hooked shark PROVOKED INCIDENT,N,Provoked
1916,1916-06-30,6.0,New Jersey,NJ,"Atlantic City, Atlantic County",Swimming,False,10.0,M,Heel bitten,N,Unprovoked
1916,1916-07-01,7.0,New Jersey,NJ,"Beach Haven, Ocean County",Swimming,False,24.0,M,"FATAL, left leg bitten",Y,Unprovoked
1916,1916-07-06,7.0,New Jersey,NJ,"Spring Lake, Monmouth County",Swimming,False,,M,FATAL,Y,Unprovoked
1916,1916-07-12,7.0,New Jersey,NJ,"Matawan Creek, 10 miles from the sea, Monmouth County",Swimming,False,10.0,M,"FATAL, legs & torso bitten ",Y,Unprovoked
1916,1916-07-12,7.0,New Jersey,NJ,"Matawan Creek, 10 miles from the sea, Monmouth County",Swimming (recovering remains of Stilwell),False,24.0,M,"FATAL, thigh bitten ",Y,Unprovoked
1916,1916-07-12,7.0,New Jersey,NJ,"In Matawan Creek, off NJ Clay Company brickyards at Cliffwood, Monmouth County, 9.5 miles from the sea, Monmouth County",Swimming,False,12.0,M,"Lower left leg bitten, surgically amputated",N,Unprovoked
1916,1916-07-13,7.0,New York,NY,"Sheepshead Bay, Brooklyn",Swimming,False,,F,"No attack,  no injury",N,Invalid
1916,1916-07-13,7.0,New York,NY,"Sheepshead Bay, Brooklyn",Swimming,False,,M,Ankle bruised,N,Unprovoked
1916,1916-07-26,7.0,North Carolina,NC,"Atlantic, near New Bern, Craven County",Fishing,False,,M,Arm severely lacerated,N,Unprovoked
1916,1916-08-24,8.0,Louisiana,LA,Grand Lake,Netting shrimp,False,,M,Lower left leg severely bitten & became septic. Not known if he survived,N,Unprovoked
1916,1916-10-11,10.0,Florida,FL,"Sewells Point, near Palm Beach","Fishing, attempted to take a netted shark",False,,M,"FATAL, leg severely bitten, surgically amputated PROVOKED INCIDENT",Y,Provoked
1917,1917-06-03,6.0,South Carolina,SC,Calibogue Sound,Swimming beside launch,False,,M,Right arm bitten,N,Unprovoked
1917,1917-07-18,7.0,Florida,FL,Florida Keys ,Diving,False,,M,FATAL,Y,Unprovoked
1917,1917-09-09,9.0,Hawaii,HI,"Nanakuli, Oahu",Stuffing a shark into an automobile,False,,M,Arm severely lacerated by shark that had been hooked and shot PROVOKED INCIDENT,N,Provoked
1917,1917-09-21,9.0,New Jersey,NJ,"Sea Bright, Monmouth County","Swimming, towing an empty barrel",False,,M,Left knee lacerated,N,Unprovoked
1919,1919-04-06,4.0,Florida,FL,"Florida Keys 25ºN,82ºW",Knocked into the water,False,,M,FATAL,Y,Unprovoked
1919,1919-05-29,5.0,South Carolina,SC,"James Island Sound, Charleston","""Swimming vigorously""",False,,M,Left foot bitten & abraded,N,Unprovoked
1919,1919-08-10,8.0,Florida,FL,"Gadsden Point, Tampa Bay",Swimming,False,,M,Laceration to left thigh,N,Unprovoked
1920,1920-06-29,6.0,Florida,FL,"Englewood Beach, Charlotte County",Swimming,False,13.0,M,Knee & thigh bitten,N,Unprovoked
1920,1920-07-14,7.0,New York,NY,"Woodcliff Channel, Freeport, Long Island",Swimming,False,30.0,M,Thought to have been taken by a shark. Body was not recovered,Y,Invalid
1922,1922-06-17,6.0,Florida,FL,"Municipal Pier, St. Petersburg, Tampa bay",Floating,False,18.0,F,"FATAL, thigh bitten",Y,Unprovoked
1922,1922-07-19,7.0,Florida,FL,"Pablo Beach, Jacksonville, Duval County",,False,,M,Leg bitten,N,Unprovoked
1922,1922-09-28,9.0,Hawaii,HI,"Keawanui, Kamalo, Moloka'i","Freediving, inspecting Kaunakakai wharf construction after blasting & dredging",False,,M,Survived,N,Unprovoked
1922,1922-12-14,12.0,Puerto Rico,PR,San Juan,Bathing,False,,F,"FATAL, hip & thigh bitten with  tissue removed, including bone ",Y,Unprovoked
1924,1924-06-18,6.0,Florida,FL,"Bayboro, Pinellas County",Removing shark from a net,False,,M,Netted shark made a5-inch incision above the knee PROVOKED INCIDENT,N,Provoked
1924,1924-07-04,7.0,California,CA,"Newport Beach, Orange County",Fishing,False,14.0,M,"No injury, shark tore hole in the side of the boat",N,Boating
1924,1924-07-31,7.0,South Carolina,SC,"Folly Island, near Charleston",Standing,False,,M,Left knee & leg bitten. (Tooth fragment recovered from kneecap),N,Unprovoked
1924,1924-11-21,11.0,Puerto Rico,PR,Santurce,Bathing,False,35.0,M,"FATAL, hand severed, both legs & arms bitten & nearly severed ",Y,Unprovoked
1925,1925-08-02,8.0,South Carolina,SC,"Folly Island, near Charleston",Swimming,False,,F,"Multiple lacerations on both thighs, right buttock and hip",N,Unprovoked
1926,1926-04-07,4.0,Hawaii,HI,"Hilo Bay Yacht Club, Hilo, Hawai'i",Swimming,False,,F,Right leg bitten thigh to heel,N,Unprovoked
1926,1926-05-18,5.0,Hawaii,HI,"Hale'iwa, O'ahu",Swimming,False,,M,"FATAL, gave sudden shriek & disappeared, body found in shark caught off Kahuka",Y,Unprovoked
1926,1926-07-08,7.0,California,CA,"San Francisco Bay (or San Leandro Bay), near cannery, Alameda County",Swimming with dog near canning factory,False,15.0,M,Leg & hand lacerated and dog bitten,N,Unprovoked
1926,1926-07-12,7.0,New Jersey,NJ,20 miles off Seabright,Fishing,False,,M,No injury to occupants,N,Boating
1926,1926-08-24,8.0,New Jersey,NJ,"Seaside, Ocean County",Swimming,False,18.0,M,FATAL,Y,Unprovoked
1928,1928-01-21,1.0,Florida,FL,,Swimming,False,,,Body not recovered ,Y,Invalid
1928,1928-11-12,11.0,Virginia,VA,"200 miles off Hampton Roads, Virginia, USA","Sea Disaster, sinking of the  SS Vestris",False,,M,FATAL,Y,Sea Disaster
1928,1928-11-18,11.0,New Jersey,NJ,"Seabright, Monmouth County",Fishing,False,,M,"Fishermen were cut & bruised by netted, harpooned and gaffed  sharks PROVOKED INCIDENT",N,Provoked
1929,1929-03-16,3.0,Florida,FL,"Sea Spray, Palm Beach",Swimming,False,26.0,M,Right sole & toes lacerated,N,Unprovoked
1929,1929-06-23,6.0,Florida,FL,"Fort Pierce, St Lucie County",Fishing,False,,M,Leg bitten by hooked shark PROVOKED INCIDENT,N,Provoked
1929,1929-08-05,8.0,South Carolina,SC,Fort Moultrie,Bathing,False,,M,Left foot & ankle bitten,N,Unprovoked
1930,1930-05-27,5.0,Texas,TX,High Island,Swimming / floating,False,,M,Lacerations to arm,N,Unprovoked
1930,1930-07-11,7.0,Florida,FL,"Jensen Beach, Martin County",Swimming,False,21.0,M,Arm lacerated from shoulder to wrist,N,Unprovoked
1930,1930-08-06,8.0,Florida,FL,"Palm Beach Inlet, Palm Beach County",Swimming,False,,M,Lacerations to foot & ankle,N,Unprovoked
1931,1931-06-13,6.0,Hawaii,HI,"Pearl Harbor, O'ahu",Gaffing & attempting to bring onboard a harpooned shark,False,,M,Tip of finger amputated PROVOKED INCIDENT,N,Provoked
1931,1931-06-14,6.0,Hawaii,HI,"Pearl Harbor, O'ahu","Fishing, had just speared a ulua",False,,M,Survived,N,Unprovoked
1931,1931-07-15,7.0,New Jersey,NJ,"Sea Girt, Monmouth County",Swimming,False,,M,Nipped on leg,N,Unprovoked
1931,1931-08-18,8.0,Texas,TX,Off Brownsville,Swimming,False,,M,Minor injury,N,Unprovoked
1931,1931-08-27,8.0,New Jersey,NJ,"1 mile ESE of Navesink, Monmouth County",Fishing for bluefish,False,,,No injury to occupants. Shark chasing fish struck boat,N,Boating
1931,1931-08-30,8.0,Hawaii,HI,,,False,,M,"""Mysteriously disappeared"" His body was found in a shark caught at Barber's Point on 01-Sep-1931",Y,Invalid
1931,1931-09-02,9.0,Hawaii,HI,"Kahala, O'ahu",Fishing,False,,M,"Swept out to sea by strong currents, his remains found in shark caught off Barbers Point",Y,Invalid
1931,1931-09-21,9.0,Florida,FL,"Municipal Beach, West Palm Beach, Palm Beach County",Swimming,False,,M,Minor injury,N,Unprovoked
1931,1931-09-21,9.0,Florida,FL,"Municipal Beach, West Palm Beach, Palm Beach County",Swimming,False,20.0,F,Right thigh & calf lacerated,N,Unprovoked
1932,1932-02-16,2.0,Hawaii,HI,"1 mile off Mala Wharf, Lahaina, Maui",Swimming,False,,M,Two 6-inch lacerations,N,Unprovoked
1932,1932-06-26,6.0,New Jersey,NJ,"Off Ocean City, Cape May County",Fishing,False,,M,Ankle broken when 500-lb boated shark lashed him with its tail PROVOKED INCIDENT,N,Provoked
1932,1932-06-28,6.0,New Jersey,NJ,"10 miles offshore from Sea Isle City, Cape May County",Fishing,False,32.0,M,Knee bitten by boated shark PROVOKED INCIDENT,N,Provoked
1932,1932-08-10,8.0,New Jersey,NJ,"Offshore, between Mantoloking & Point Pleasant, Ocean County",Fishing,False,,M,Hooked shark gashed right leg      PROVOKED INCIDENT,N,Provoked
1933,1933-04-10,4.0,Florida,FL,"Miami Beach, Miami-Dade County",Swimming,False,24.0,M,FATAL,Y,Unprovoked
1933,1933-06-16,6.0,South Carolina,SC,"Folly Island, near Charleston",Standing,False,,F,Left calf bitten,N,Unprovoked
1933,1933-06-21,6.0,South Carolina,SC,North end of Morris Island at mouth of Charleston Harbor,Sitting in 3' of water,False,15.0,M,Right knee & left leg bitten,N,Unprovoked
1933,1933-08-28,8.0,South Carolina,SC,"Pawleys Island, north of Charleston",Bathing,False,,M,Right heel & ankle bitten,N,Unprovoked
1933,1933-08-28,8.0,California,CA,"Hermosa Beach, Los Angeles County","Fishing, caught a 15' shark & took it onboard",False,,M,Severely lacerated arm PROVOKED INCIDENT,N,Provoked
1934,1934-06-20,6.0,Florida,FL,"Melbourne, Brevard County",Standing,False,8.0,M,FATAL,Y,Unprovoked
1934,1934-08-05,8.0,Georgia,GA,"Thunderbolt, Chatham County",Swimming,False,11.0,M,Lacerations to right leg,N,Unprovoked
1935,1935-06-18,6.0,New Jersey,NJ,50 miles offshore,"Fishing for bluefish, shark leapt into dory",False,31.0,M,Arm lacerated by a shark that leapt onto boat ,N,Unprovoked
1935,1935-07-27,7.0,California,CA,Santa Barbara Channel,fishing boat exploded & sank,False,23.0,M,"Although listed as an uprovoked fatal attack by SAF, shark bite on his ankle was post-mortem following death by drowning",Y,Invalid
1935,1935-07-27,7.0,California,CA,Santa Barbara Channel,fishing boat exploded & sank,False,53.0,M,"Although listed as  an uprovoked fatal attack by SAF, he was killed by the explosion. The shark bites were post-mortem ",Y,Invalid
1935,1935-09-21,9.0,North Carolina,NC,"Browns Inlet on New River, Onslow Beach",Swimming,False,38.0,M,"FATAL, thigh bitten ",Y,Unprovoked
1936,1936-03-30,3.0,Florida,FL,"Miami, Miami-Date County",Fishing,False,,M,No injury. His hand entangled in line of hooked shark. He was pulled overboard & towed 150' PROVOKED INCIDENT ,N,Provoked
1936,1936-06-06,6.0,Florida,FL,"Boca Ciega Bay, Pinellas County",Swimming,False,,M,FATAL,Y,Unprovoked
1936,1936-07-12,7.0,New Jersey,NJ,"Long Branch, Monmouth County (offshore)",Fishing for bluefish,False,,,"No injury to occupants, shark leapt onboard boat",N,Boating
1936,1936-07-25,7.0,Massachusetts,MA,"Hollywood Beach, just above Mattapoisett Harbor, Buzzards Bay",Swimming crawl stroke,False,16.0,M,"FATAL, finger severed, thigh bitten He died during the surgical amputation of his leg   ",Y,Unprovoked
1936,1936-09-04,9.0,Hawaii,HI,"Lahaina, Maui",Swimming,False,,M,Leg lacerated,N,Unprovoked
1936,1936-12-30,12.0,Hawaii,HI,"Honokohau, Maui","Diving, attempting to retrieve body of drowning victim wedged between rocks",False,,M,Thigh lacerated,N,Unprovoked
1937,1937-05-30,5.0,Texas,TX,Galveston,Fishing,False,,M,Leg nipped by hooked shark PROVOKED INCIDENT,N,Provoked
1937,1937-06-15,6.0,Texas,TX,Galveston,Swimming,False,14.0,M,FATAL,Y,Unprovoked
1937,1937-11-13,11.0,North Carolina,NC,Off Cape Hatteraa,"Tzenny Chandris, a Greek freighter laden with scrap iron, foundered in heavy weather",False,,M,FATAL ,Y,Sea Disaster
1938,1938-07-17,7.0,California,CA,"Dana Point, Orange County","Fishing, removing gaff from shark's mouth",False,27.0,M,Leg bitten by gaffed shark PROVOKED INCIDENT,N,Provoked
1938,1938-07-18,7.0,South Carolina,SC,Charleston,Swimming,False,,M,Foot & ankle lacerated,N,Unprovoked
1938,1938-08-18,8.0,California,CA,"Near Encino, Los Angeles County",Fishing,False,,M,Lacerations to hand by hooked shark PROVOKED INCIDENT,N,Provoked
1939,1939-05-03,5.0,Virginia,VA,"At sea, several hundred miles south east of Cape Henry, Virginia",Washed off freighter Huncliff by a freak wave,False,,M,"FATAL, attacked by shark, body not recovered ",Y,Unprovoked
1939,1939-07-14,7.0,Texas,TX,"West Bay, 19 miles from Galveston",Seine netting,False,,M,Leg bitten by snared shark PROVOKED INCIDENT,N,Provoked
1939,1939-08-01,8.0,California,CA,"Off San Pedro, Los Angeles County",Fishing,False,33.0,M,Harpooned shark bit his arm PROVOKED INCIDENT,N,Provoked
1939,1939-10-04,10.0,Hawaii,HI,"Kane'ohe Bay, Mokapu, O'ahu",Spearfishing & had just speared a ulua,False,,M,Hand bitten,N,Unprovoked
1940,1940-06-30,6.0,North Carolina,NC,"Holden Beach, Brunswick County",Fishing,False,,M,Thigh lacerated,N,Unprovoked
1940,1940-07-13,7.0,South Carolina,SC,"Folly Beach, Charleston County",Standing,False,,M,Struck by shark immediately before it bit Tanner (see below),N,Unprovoked
1940,1940-07-13,7.0,South Carolina,SC,"Folly Beach, Charleston County",Standing,False,,M,Ankle bitten,N,Unprovoked
1941,1941-03-09,3.0,California,CA,"Santa Monica, Los Angeles County",Fishing,False,53.0,M,Right hand bitten by boated shark PROVOKED INCIDENT,N,Provoked
1941,1941-06-15,6.0,New York,NY,15 miles south of Jones Inlet,Fishing from 32' boat,False,43.0,M,Left hand bitten as he tried to put rope around shark's tail PROVOKED INCIDENT,N,Provoked
1941,1941-07-01,7.0,Hawaii,HI,"Nankuli, O'ahu",Fishing,False,,M,Arm bitten while removing shark from fishing line PROVOKED INCIDENT,N,Provoked
1941,1941-07-22,7.0,New Jersey,NJ,"Brielle, Monmouth County (Offshore)",Fishing for tuna,False,,,"No injury to occupants, shark leapt into boat & bit cabin door",N,Boating
1941,1941-08-01,8.0,South Carolina,SC,Sullivan's Island at entrance to Charleston Harbor,Swimming at edge of channel,False,20.0,M,Chest lacerated,N,Unprovoked
1942,1942-06-04,6.0,Midway Atoll,,,"Plane crashed in water, men in life raft",False,,M,Survived,N,Unprovoked
1943,1943-04-05,4.0,Hawaii,HI,"3 miles from shore off McGregor Point, Maui","Small boat swamped, 4  people swimming to shore but he fell behind the other 3 and vanished",False,,M,On 29-Apr-1943 his remains (right forearm & swim trunks) were found in sharks gut,Y,Invalid
1943,1943-07-18,7.0,Florida,FL,"40 miles off Islamorada, near Cay Sal",Treading water after survivng crash of the US Navy airship K-74 that was hit by the German submarine U-134,False,,M,FATAL,Y,Sea Disaster
1943,1943-10-26,10.0,Florida,FL,Victim was on said to be on tanker that collided off Florida coast on 10-20-1943,,False,,M,"Hand, forearm, leg and pelvis recovered from sharks gut",N,Invalid
1943,1943-12-04,12.0,South Carolina,SC,Off Charleston,The Cuban freighter Libertad was torpedoed and sunk by the German submarine U-129,False,,M,"Of the 18 crew who survived the sinking, 10 were taken by sharks. Cabarrocas was bitten but survived",Y,Sea Disaster
1944,1944-05-31,5.0,Florida,FL,"Atlantic Beach, Mayport,  Duval County",Bathing,False,15.0,F,Left calf bitten,N,Unprovoked
1944,1944-09-03,9.0,Maryland,MD,North Beach,Swimming,False,13.0,M,Laceration to right lower leg,N,Unprovoked
1944,1944-12-02,12.0,Florida,FL,3 miles north of the inlet at Palm Beach,Fishing for mackerel,False,,,"No injury to occupants. After being prodded with an oar, shark struck bow and sank boat PROVOKED INCIDENT",N,Provoked
